Date,CustomerID,Product,Category,Region,Quantity,Revenue,Cost,Profit,Discount
2024-06-02,CUST-00518,Product A,Electronics,West,6,1386.0,774.02,611.98,0.0
2024-06-02,CUST-00685,Product C,Home & Kitchen,East,6,459.0,269.76,189.24,0.0
2024-06-02,CUST-02166,Product A,Electronics,East,3,564.3,373.06,191.24,5.0
2024-06-02,CUST-01253,Product B,Electronics,West,4,1428.0,875.48,552.52,0.0
2024-06-02,CUST-02724,Product A,Electronics,West,1,231.0,132.93,98.07,0.0
2024-06-03,CUST-02066,Product E,Apparel,North,1,69.0,42.84,26.16,0.0
2024-06-03,CUST-00800,Product D,Apparel,North,5,258.75,145.24,113.51,0.0
2024-06-03,CUST-00328,Product E,Apparel,North,7,483.0,302.27,180.73,0.0
2024-06-03,CUST-01312,Product D,Apparel,North,2,103.5,60.7,42.8,0.0
2024-06-03,CUST-00775,Product D,Apparel,West,3,120.49,78.24,42.25,15.0
2024-06-03,CUST-00746,Product D,Apparel,East,3,103.28,78.21,25.07,15.0
2024-06-03,CUST-01380,Product A,Electronics,South,1,187.0,124.89,62.11,15.0
2024-06-03,CUST-00128,Product B,Electronics,East,3,780.3,572.02,208.28,15.0
2024-06-03,CUST-02714,Product B,Electronics,North,4,1485.8,959.13,526.67,5.0
2024-06-03,CUST-00646,Product A,Electronics,South,3,660.0,389.1,270.9,0.0
2024-06-03,CUST-01846,Product A,Electronics,East,5,990.0,597.05,392.95,0.0
2024-06-03,CUST-02855,Product A,Electronics,East,3,594.0,390.77,203.23,0.0
2024-06-03,CUST-02483,Product E,Apparel,East,2,108.0,65.84,42.16,0.0
2024-06-03,CUST-01280,Product B,Electronics,West,1,321.3,214.84,106.46,10.0
2024-06-03,CUST-01880,Product B,Electronics,North,1,391.0,239.62,151.38,0.0
2024-06-03,CUST-00356,Product A,Electronics,West,1,219.45,147.6,71.85,5.0
2024-06-03,CUST-02688,Product A,Electronics,West,4,924.0,610.42,313.58,0.0
2024-06-03,CUST-00873,Product A,Electronics,West,1,231.0,156.22,74.78,0.0
2024-06-03,CUST-00601,Product D,Apparel,West,2,89.78,64.84,24.94,5.0
2024-06-03,CUST-02713,Product B,Electronics,West,4,1356.6,893.08,463.52,5.0
2024-06-03,CUST-00689,Product D,Apparel,South,2,90.0,62.67,27.33,0.0
2024-06-03,CUST-02036,Product C,Home & Kitchen,West,1,80.32,57.39,22.93,10.0
2024-06-03,CUST-01866,Product C,Home & Kitchen,East,5,363.38,238.72,124.66,5.0
2024-06-03,CUST-00198,Product B,Electronics,South,1,340.0,214.69,125.31,0.0
2024-06-03,CUST-00794,Product D,Apparel,South,1,45.0,28.57,16.43,0.0
2024-06-03,CUST-02444,Product B,Electronics,North,3,1173.0,811.82,361.18,0.0
2024-06-03,CUST-01929,Product D,Apparel,West,1,44.89,31.45,13.44,5.0
2024-06-03,CUST-01206,Product D,Apparel,South,3,108.0,91.24,16.76,20.0
2024-06-03,CUST-00202,Product B,Electronics,West,2,714.0,472.41,241.59,0.0
2024-06-03,CUST-02095,Product D,Apparel,South,2,90.0,60.26,29.74,0.0
2024-06-04,CUST-00886,Product D,Apparel,North,4,186.3,135.85,50.45,10.0
2024-06-04,CUST-02140,Product D,Apparel,East,3,103.28,81.36,21.92,15.0
2024-06-04,CUST-01055,Product E,Apparel,West,6,321.3,257.33,63.97,15.0
2024-06-04,CUST-02013,Product A,Electronics,West,2,415.8,311.77,104.03,10.0
2024-06-04,CUST-02914,Product A,Electronics,North,1,253.0,143.55,109.45,0.0
2024-06-04,CUST-00572,Product C,Home & Kitchen,East,3,183.6,137.99,45.61,20.0
2024-06-04,CUST-00285,Product C,Home & Kitchen,South,1,72.25,59.16,13.09,15.0
2024-06-04,CUST-00318,Product A,Electronics,East,4,792.0,540.49,251.51,0.0
2024-06-04,CUST-02845,Product A,Electronics,North,3,645.15,477.45,167.7,15.0
2024-06-04,CUST-02796,Product A,Electronics,East,2,396.0,274.28,121.72,0.0
2024-06-04,CUST-00520,Product D,Apparel,West,3,141.75,79.9,61.85,0.0
2024-06-04,CUST-00527,Product D,Apparel,West,3,120.49,91.07,29.42,15.0
2024-06-04,CUST-02774,Product A,Electronics,South,2,440.0,274.45,165.55,0.0
2024-06-04,CUST-01390,Product A,Electronics,East,3,594.0,361.67,232.33,0.0
2024-06-04,CUST-00592,Product D,Apparel,West,6,283.5,180.2,103.3,0.0
2024-06-04,CUST-02995,Product C,Home & Kitchen,South,2,153.0,102.98,50.02,10.0
2024-06-04,CUST-02376,Product D,Apparel,West,2,94.5,57.26,37.24,0.0
2024-06-04,CUST-01856,Product D,Apparel,North,6,294.97,205.51,89.46,5.0
2024-06-04,CUST-02377,Product C,Home & Kitchen,West,2,178.5,112.55,65.95,0.0
2024-06-04,CUST-00365,Product B,Electronics,North,2,703.8,529.38,174.42,10.0
2024-06-04,CUST-00025,Product C,Home & Kitchen,North,3,278.59,187.6,90.99,5.0
2024-06-04,CUST-01041,Product D,Apparel,North,4,207.0,142.33,64.67,0.0
2024-06-04,CUST-02514,Product B,Electronics,West,5,1695.75,1209.12,486.63,5.0
2024-06-04,CUST-01818,Product A,Electronics,South,2,418.0,303.07,114.93,5.0
2024-06-04,CUST-02736,Product E,Apparel,East,1,51.3,32.11,19.19,5.0
2024-06-04,CUST-00615,Product B,Electronics,North,2,782.0,491.38,290.62,0.0
2024-06-04,CUST-02984,Product C,Home & Kitchen,North,1,97.75,63.97,33.78,0.0
2024-06-04,CUST-02786,Product E,Apparel,West,2,126.0,70.14,55.86,0.0
2024-06-04,CUST-01772,Product A,Electronics,West,7,1617.0,1041.55,575.45,0.0
2024-06-04,CUST-02034,Product D,Apparel,West,3,141.75,85.5,56.25,0.0
2024-06-04,CUST-02633,Product A,Electronics,North,1,253.0,176.63,76.37,0.0
2024-06-04,CUST-01326,Product B,Electronics,North,3,1173.0,817.99,355.01,0.0
2024-06-04,CUST-01334,Product E,Apparel,East,2,108.0,72.97,35.03,0.0
2024-06-04,CUST-02307,Product C,Home & Kitchen,East,1,76.5,44.21,32.29,0.0
2024-06-04,CUST-02467,Product D,Apparel,West,3,141.75,83.5,58.25,0.0
2024-06-04,CUST-00739,Product B,Electronics,South,6,1734.0,1249.76,484.24,15.0
2024-06-05,CUST-02360,Product E,Apparel,South,3,162.0,103.98,58.02,10.0
2024-06-05,CUST-00711,Product B,Electronics,West,5,1695.75,1069.67,626.08,5.0
2024-06-05,CUST-02890,Product B,Electronics,East,4,1224.0,704.13,519.87,0.0
2024-06-05,CUST-01764,Product C,Home & Kitchen,West,5,446.25,280.69,165.56,0.0
2024-06-05,CUST-01839,Product D,Apparel,East,3,121.5,66.96,54.54,0.0
2024-06-05,CUST-01358,Product E,Apparel,North,2,138.0,79.93,58.07,0.0
2024-06-05,CUST-01682,Product A,Electronics,South,3,660.0,423.42,236.58,0.0
2024-06-05,CUST-01709,Product A,Electronics,West,2,415.8,279.98,135.82,10.0
2024-06-05,CUST-01017,Product E,Apparel,South,3,144.0,116.14,27.86,20.0
2024-06-05,CUST-02905,Product D,Apparel,West,2,89.78,64.04,25.74,5.0
2024-06-05,CUST-00631,Product C,Home & Kitchen,North,2,185.72,132.83,52.89,5.0
2024-06-05,CUST-01101,Product A,Electronics,South,2,418.0,258.95,159.05,5.0
2024-06-05,CUST-02507,Product B,Electronics,East,3,918.0,603.71,314.29,0.0
2024-06-05,CUST-00744,Product A,Electronics,West,2,462.0,259.6,202.4,0.0
2024-06-05,CUST-00956,Product C,Home & Kitchen,East,3,229.5,154.86,74.64,0.0
2024-06-05,CUST-02818,Product A,Electronics,West,5,1097.25,807.48,289.77,5.0
2024-06-05,CUST-00494,Product B,Electronics,East,4,1224.0,792.63,431.37,0.0
2024-06-05,CUST-01661,Product E,Apparel,East,4,205.2,132.12,73.08,5.0
2024-06-05,CUST-01010,Product A,Electronics,East,5,940.5,560.33,380.17,5.0
2024-06-05,CUST-02359,Product C,Home & Kitchen,North,3,249.26,169.08,80.18,15.0
2024-06-05,CUST-01329,Product B,Electronics,North,3,1173.0,674.62,498.38,0.0
2024-06-05,CUST-02637,Product D,Apparel,South,2,76.5,50.61,25.89,15.0
2024-06-05,CUST-00303,Product B,Electronics,West,1,357.0,240.84,116.16,0.0
2024-06-05,CUST-02431,Product A,Electronics,West,7,1455.3,1037.85,417.45,10.0
2024-06-05,CUST-02957,Product E,Apparel,North,6,414.0,243.05,170.95,0.0
2024-06-05,CUST-01990,Product C,Home & Kitchen,South,4,340.0,195.25,144.75,0.0
2024-06-05,CUST-01356,Product A,Electronics,East,5,990.0,582.77,407.23,0.0
2024-06-05,CUST-02069,Product B,Electronics,East,5,1530.0,984.47,545.53,0.0
2024-06-05,CUST-02885,Product A,Electronics,East,3,475.2,342.83,132.37,20.0
2024-06-05,CUST-01274,Product E,Apparel,North,6,414.0,264.22,149.78,0.0
2024-06-05,CUST-00301,Product C,Home & Kitchen,North,3,293.25,187.62,105.63,0.0
2024-06-05,CUST-01800,Product A,Electronics,North,4,1012.0,624.82,387.18,0.0
2024-06-05,CUST-02021,Product D,Apparel,East,1,40.5,26.75,13.75,0.0
2024-06-05,CUST-01317,Product D,Apparel,South,5,180.0,127.9,52.1,20.0
2024-06-05,CUST-00490,Product A,Electronics,West,3,693.0,385.47,307.53,0.0
2024-06-05,CUST-01247,Product B,Electronics,South,1,340.0,236.63,103.37,0.0
2024-06-05,CUST-01970,Product C,Home & Kitchen,North,2,195.5,111.73,83.77,0.0
2024-06-05,CUST-00130,Product B,Electronics,North,1,391.0,249.03,141.97,0.0
2024-06-06,CUST-01247,Product A,Electronics,West,1,231.0,160.59,70.41,0.0
2024-06-06,CUST-02280,Product C,Home & Kitchen,North,3,249.26,172.42,76.84,15.0
2024-06-06,CUST-01440,Product C,Home & Kitchen,South,4,340.0,194.66,145.34,0.0
2024-06-06,CUST-00408,Product B,Electronics,West,1,357.0,236.31,120.69,0.0
2024-06-06,CUST-00515,Product E,Apparel,East,2,97.2,71.42,25.78,10.0
2024-06-06,CUST-01641,Product A,Electronics,West,2,462.0,272.17,189.83,0.0
2024-06-06,CUST-00105,Product B,Electronics,North,4,1407.6,1069.48,338.12,10.0
2024-06-06,CUST-02231,Product A,Electronics,South,4,880.0,498.63,381.37,0.0
2024-06-06,CUST-00686,Product B,Electronics,North,2,782.0,538.99,243.01,0.0
2024-06-06,CUST-02709,Product E,Apparel,North,3,207.0,133.6,73.4,0.0
2024-06-06,CUST-01369,Product D,Apparel,West,2,94.5,62.65,31.85,0.0
2024-06-06,CUST-01487,Product A,Electronics,West,1,219.45,155.39,64.06,5.0
2024-06-06,CUST-01831,Product D,Apparel,South,4,180.0,117.6,62.4,0.0
2024-06-06,CUST-00652,Product C,Home & Kitchen,East,1,61.2,51.24,9.96,20.0
2024-06-06,CUST-02558,Product A,Electronics,North,3,759.0,434.44,324.56,0.0
2024-06-06,CUST-02038,Product A,Electronics,North,7,1771.0,1120.06,650.94,0.0
2024-06-06,CUST-01912,Product A,Electronics,West,2,462.0,301.29,160.71,0.0
2024-06-06,CUST-02386,Product A,Electronics,South,1,220.0,153.2,66.8,0.0
2024-06-06,CUST-02563,Product D,Apparel,South,1,45.0,31.37,13.63,0.0
2024-06-06,CUST-02454,Product A,Electronics,West,4,831.6,580.4,251.2,10.0
2024-06-06,CUST-00262,Product B,Electronics,South,3,867.0,694.62,172.38,15.0
2024-06-06,CUST-01694,Product B,Electronics,West,4,1285.2,866.93,418.27,10.0
2024-06-06,CUST-01812,Product A,Electronics,East,3,594.0,346.62,247.38,0.0
2024-06-06,CUST-01602,Product D,Apparel,North,4,207.0,122.02,84.98,0.0
2024-06-06,CUST-01980,Product D,Apparel,West,2,94.5,55.27,39.23,0.0
2024-06-06,CUST-02711,Product A,Electronics,West,5,1155.0,739.64,415.36,0.0
2024-06-06,CUST-01080,Product A,Electronics,North,2,404.8,282.69,122.11,20.0
2024-06-06,CUST-02311,Product B,Electronics,North,1,351.9,230.61,121.29,10.0
2024-06-06,CUST-01509,Product A,Electronics,East,5,990.0,607.77,382.23,0.0
2024-06-06,CUST-02646,Product B,Electronics,West,2,642.6,471.27,171.33,10.0
2024-06-06,CUST-02947,Product E,Apparel,East,4,183.6,145.67,37.93,15.0
2024-06-07,CUST-01675,Product A,Electronics,North,4,1012.0,684.33,327.67,0.0
2024-06-07,CUST-02823,Product C,Home & Kitchen,East,4,290.7,204.71,85.99,5.0
2024-06-07,CUST-02976,Product B,Electronics,East,3,918.0,554.98,363.02,0.0
2024-06-07,CUST-02862,Product A,Electronics,East,2,336.6,265.53,71.07,15.0
2024-06-07,CUST-01530,Product E,Apparel,South,2,120.0,83.95,36.05,0.0
2024-06-07,CUST-01940,Product A,Electronics,South,1,220.0,138.4,81.6,0.0
2024-06-07,CUST-02991,Product A,Electronics,West,5,1155.0,716.88,438.12,0.0
2024-06-07,CUST-01441,Product B,Electronics,East,4,1224.0,689.21,534.79,0.0
2024-06-07,CUST-00483,Product A,Electronics,West,1,219.45,130.73,88.72,5.0
2024-06-07,CUST-00068,Product B,Electronics,North,3,1114.35,653.62,460.73,5.0
2024-06-07,CUST-02020,Product E,Apparel,South,2,108.0,73.35,34.65,10.0
2024-06-07,CUST-02598,Product D,Apparel,West,5,236.25,145.78,90.47,0.0
2024-06-07,CUST-00424,Product B,Electronics,North,2,782.0,432.21,349.79,0.0
2024-06-07,CUST-02811,Product E,Apparel,East,4,194.4,119.38,75.02,10.0
2024-06-07,CUST-00265,Product C,Home & Kitchen,East,3,229.5,135.29,94.21,0.0
2024-06-07,CUST-01202,Product A,Electronics,North,4,961.4,681.4,280.0,5.0
2024-06-07,CUST-02316,Product E,Apparel,West,4,226.8,149.38,77.42,10.0
2024-06-07,CUST-02045,Product E,Apparel,East,2,97.2,69.1,28.1,10.0
2024-06-07,CUST-02486,Product A,Electronics,South,3,627.0,371.14,255.86,5.0
2024-06-07,CUST-02588,Product D,Apparel,South,6,270.0,169.25,100.75,0.0
2024-06-07,CUST-02239,Product A,Electronics,East,2,356.4,234.39,122.01,10.0
2024-06-07,CUST-00881,Product A,Electronics,North,2,430.1,320.82,109.28,15.0
2024-06-07,CUST-01321,Product B,Electronics,North,1,391.0,235.97,155.03,0.0
2024-06-07,CUST-02291,Product D,Apparel,South,2,90.0,62.7,27.3,0.0
2024-06-07,CUST-02262,Product A,Electronics,West,1,231.0,153.27,77.73,0.0
2024-06-07,CUST-02635,Product D,Apparel,West,1,44.89,31.36,13.53,5.0
2024-06-07,CUST-01930,Product D,Apparel,West,2,94.5,61.09,33.41,0.0
2024-06-07,CUST-01081,Product C,Home & Kitchen,West,3,254.36,161.54,92.82,5.0
2024-06-07,CUST-02814,Product B,Electronics,South,3,1020.0,668.55,351.45,0.0
2024-06-07,CUST-02259,Product C,Home & Kitchen,South,1,85.0,54.87,30.13,0.0
2024-06-07,CUST-01170,Product B,Electronics,North,5,1955.0,1202.53,752.47,0.0
2024-06-07,CUST-01071,Product A,Electronics,South,4,836.0,549.49,286.51,5.0
2024-06-07,CUST-00973,Product B,Electronics,North,4,1564.0,938.68,625.32,0.0
2024-06-07,CUST-00581,Product C,Home & Kitchen,East,4,260.1,178.65,81.45,15.0
2024-06-07,CUST-02646,Product C,Home & Kitchen,North,3,263.92,185.67,78.25,10.0
2024-06-07,CUST-00188,Product D,Apparel,West,1,47.25,27.58,19.67,0.0
2024-06-07,CUST-01010,Product A,Electronics,West,3,693.0,456.82,236.18,0.0
2024-06-07,CUST-00966,Product A,Electronics,South,2,418.0,277.87,140.13,5.0
2024-06-07,CUST-02337,Product A,Electronics,South,1,220.0,149.07,70.93,0.0
2024-06-07,CUST-01932,Product A,Electronics,West,2,462.0,319.73,142.27,0.0
2024-06-07,CUST-01904,Product D,Apparel,North,2,103.5,58.44,45.06,0.0
2024-06-07,CUST-01496,Product D,Apparel,South,1,42.75,28.45,14.3,5.0
2024-06-07,CUST-02244,Product E,Apparel,North,1,65.55,43.77,21.78,5.0
2024-06-07,CUST-01580,Product A,Electronics,North,3,759.0,505.88,253.12,0.0
2024-06-07,CUST-01366,Product E,Apparel,South,1,60.0,33.4,26.6,0.0
2024-06-07,CUST-02362,Product E,Apparel,East,1,54.0,35.62,18.38,0.0
2024-06-08,CUST-00414,Product A,Electronics,East,6,1188.0,667.24,520.76,0.0
2024-06-08,CUST-00666,Product B,Electronics,East,1,244.8,211.86,32.94,20.0
2024-06-08,CUST-00715,Product B,Electronics,West,4,1285.2,868.2,417.0,10.0
2024-06-08,CUST-02559,Product B,Electronics,West,5,1606.5,1109.33,497.17,10.0
2024-06-08,CUST-01037,Product E,Apparel,North,3,175.95,127.77,48.18,15.0
2024-06-08,CUST-02368,Product A,Electronics,West,3,589.05,435.96,153.09,15.0
2024-06-08,CUST-00019,Product B,Electronics,North,2,625.6,431.14,194.46,20.0
2024-06-08,CUST-01573,Product E,Apparel,North,1,69.0,41.49,27.51,0.0
2024-06-08,CUST-01090,Product B,Electronics,North,4,1564.0,1064.05,499.95,0.0
2024-06-08,CUST-01036,Product B,Electronics,North,2,664.7,514.63,150.07,15.0
2024-06-08,CUST-01589,Product E,Apparel,North,2,138.0,76.36,61.64,0.0
2024-06-08,CUST-01305,Product C,Home & Kitchen,West,1,89.25,54.66,34.59,0.0
2024-06-08,CUST-02460,Product E,Apparel,North,4,262.2,161.82,100.38,5.0
2024-06-08,CUST-00991,Product B,Electronics,South,2,646.0,406.39,239.61,5.0
2024-06-08,CUST-00668,Product D,Apparel,North,5,219.94,145.52,74.42,15.0
2024-06-08,CUST-01996,Product B,Electronics,North,5,1661.75,1185.9,475.85,15.0
2024-06-08,CUST-02680,Product A,Electronics,East,1,198.0,136.53,61.47,0.0
2024-06-08,CUST-00977,Product C,Home & Kitchen,South,6,459.0,290.05,168.95,10.0
2024-06-08,CUST-02159,Product C,Home & Kitchen,North,2,195.5,119.34,76.16,0.0
2024-06-08,CUST-02565,Product D,Apparel,North,4,196.65,118.44,78.21,5.0
2024-06-08,CUST-00431,Product A,Electronics,East,2,396.0,225.5,170.5,0.0
2024-06-08,CUST-00383,Product A,Electronics,South,4,880.0,550.98,329.02,0.0
2024-06-08,CUST-02187,Product E,Apparel,North,3,207.0,133.29,73.71,0.0
2024-06-08,CUST-01937,Product A,Electronics,West,3,693.0,473.82,219.18,0.0
2024-06-08,CUST-00142,Product C,Home & Kitchen,North,3,293.25,188.67,104.58,0.0
2024-06-08,CUST-00555,Product B,Electronics,East,2,612.0,356.71,255.29,0.0
2024-06-08,CUST-02281,Product B,Electronics,West,2,714.0,397.45,316.55,0.0
2024-06-08,CUST-02037,Product A,Electronics,East,3,564.3,405.31,158.99,5.0
2024-06-08,CUST-01711,Product C,Home & Kitchen,North,5,464.31,329.63,134.68,5.0
2024-06-08,CUST-01137,Product A,Electronics,West,3,693.0,438.28,254.72,0.0
2024-06-08,CUST-02761,Product A,Electronics,North,5,1265.0,816.45,448.55,0.0
2024-06-08,CUST-00397,Product A,Electronics,South,2,440.0,299.7,140.3,0.0
2024-06-08,CUST-00574,Product C,Home & Kitchen,East,1,76.5,52.52,23.98,0.0
2024-06-08,CUST-01890,Product B,Electronics,East,6,1836.0,1227.09,608.91,0.0
2024-06-08,CUST-01142,Product B,Electronics,South,2,578.0,375.26,202.74,15.0
2024-06-08,CUST-02607,Product C,Home & Kitchen,East,2,153.0,104.58,48.42,0.0
2024-06-08,CUST-01830,Product A,Electronics,North,3,759.0,452.88,306.12,0.0
2024-06-08,CUST-02974,Product C,Home & Kitchen,West,3,267.75,186.3,81.45,0.0
2024-06-08,CUST-01258,Product C,Home & Kitchen,North,2,195.5,118.9,76.6,0.0
2024-06-08,CUST-00124,Product B,Electronics,South,2,612.0,411.78,200.22,10.0
2024-06-08,CUST-02353,Product E,Apparel,South,6,360.0,227.24,132.76,0.0
2024-06-08,CUST-01105,Product E,Apparel,East,3,162.0,92.55,69.45,0.0
2024-06-09,CUST-02776,Product A,Electronics,West,3,623.7,391.29,232.41,10.0
2024-06-09,CUST-01152,Product B,Electronics,South,7,2380.0,1589.68,790.32,0.0
2024-06-09,CUST-02121,Product A,Electronics,West,2,462.0,257.7,204.3,0.0
2024-06-09,CUST-01915,Product A,Electronics,East,5,990.0,571.26,418.74,0.0
2024-06-09,CUST-00384,Product A,Electronics,East,3,594.0,365.68,228.32,0.0
2024-06-09,CUST-02210,Product C,Home & Kitchen,West,2,160.65,98.73,61.92,10.0
2024-06-09,CUST-02552,Product A,Electronics,North,1,202.4,154.55,47.85,20.0
2024-06-09,CUST-02585,Product D,Apparel,North,5,258.75,154.94,103.81,0.0
2024-06-09,CUST-00390,Product D,Apparel,East,2,81.0,53.28,27.72,0.0
2024-06-09,CUST-02484,Product C,Home & Kitchen,West,1,89.25,57.14,32.11,0.0
2024-06-09,CUST-00313,Product E,Apparel,North,6,414.0,278.4,135.6,0.0
2024-06-09,CUST-00083,Product B,Electronics,East,1,306.0,179.92,126.08,0.0
2024-06-09,CUST-00888,Product B,Electronics,North,3,997.05,751.69,245.36,15.0
2024-06-09,CUST-01165,Product B,Electronics,West,3,1071.0,740.78,330.22,0.0
